FishID,Length,Weight,Start Date,Emerge_1stTrial,LN_Emerge_1stTrial,Emerge_Average,LN_Emerge_Average,Novel_TrialStart,Novel_VideoStartToOrient,Novel_TimeToOrient,Novel_LN_TimeToOrient,Novel_VideoStartToApproach,Novel_TimeToApproach,Novel_LN_Approach,Novel_Near5,Novel_LN_Near5,Novel_NearandOriented,Novel_LN_NearandOriented,Barrier_FirstBoutDuration,Barrier_LN_FirstBout,Barrier_Apex,Barrier_LN_Apex,Barrier_EmergeToBackside,Barrier_LN_EtoB,FirstReversal_Wrong VisitsBeforeCorrect,FirstReversal_PersistBeforeCorrect,Initial_Sessions,Reversal_Sessions,Reversal_Session1
1,48,1.38,25-Jun,3,1.098612289,2,0.693147181,15,27,12,2.48490665,38,23,3.135494216,60,4.110873864,8,2.197224577,56,4.043051268,88,4.48863637,27,3.295836866,2,1,5,12,0
2,53,1.78,25-Jun,3,1.098612289,5.75,1.749199855,14,16,2,0.693147181,21,7,1.945910149,135,4.912654886,29,3.401197382,86,4.465908119,84,4.442651256,50,3.912023005,2,1,3,6,2
3,52,1.68,25-Jun,13,2.564949357,13.25,2.583997552,9,11,2,0.693147181,43,34,3.526360525,85,4.454347296,43,3.784189634,1,0.693147181,12,2.564949357,193,5.262690189,4,1,2,5,0
4,50,1.76,27-Jun,22,3.091042453,15.75,2.756840365,12,13,1,0,22,10,2.302585093,140,4.94875989,15,2.772588722,24,3.218875825,42,3.761200116,26,3.258096538,3,1,2,7,2
5,48,1.18,25-Jun,1,0,8.25,2.1102132,12,186,174,5.159055299,671,659,6.490723535,28,3.36729583,1,0.693147181,52,3.970291914,57,4.060443011,21,3.044522438,2,1,4,6,5
6,51,1.72,25-Jun,20,2.995732274,22.75,3.124565145,13,41,28,3.33220451,73,60,4.094344562,168,5.129898715,7,2.079441542,6,1.945910149,17,2.890371758,11,2.397895273,1,0,8,5,4
7,42,1.07,25-Jun,138,4.927253685,52,3.951243719,16,21,5,1.609437912,30,14,2.63905733,183,5.214935758,38,3.663561646,25,3.258096538,32,3.496507561,83,4.418840608,1,0,3,6,2
8,42,0.97,25-Jun,31,3.433987204,12.5,2.525728644,10,31,21,3.044522438,36,26,3.258096538,122,4.812184355,28,3.36729583,28,3.36729583,40,3.713572067,39,3.663561646,2,1,3,6,0
9,44,1.16,25-Jun,6,1.791759469,3.5,1.252762968,11,24,13,2.564949357,25,14,2.63905733,142,4.96284463,15,2.772588722,0,0,0,0,5,1.609437912,1,0,3,14,0
11,56,2.18,9-Aug,28,3.33220451,19.25,2.957511061,12,40,28,3.33220451,135,123,4.812184355,34,3.555348061,6,1.945910149,13,2.63905733,22,3.135494216,54,3.988984047,3,1,2,9,1
